央视高清,#genre#
爱体育高清,http://61.163.149.148:8888/rtp/225.1.4.168:1220
体育竞技高清,http://61.163.149.148:8888/rtp/225.1.4.235:1281
爱体育,http://61.163.149.148:8888/rtp/225.1.4.5:1034
乒羽频道,http://61.163.149.148:8888/rtp/225.1.4.210:1263
篮球,http://61.163.149.148:8888/rtp/225.1.4.237:1283
足球,http://61.163.149.148:8888/rtp/225.1.4.200:1250


cctv,#genre#
CCTV-1,http://61.163.149.148:8888/rtp/225.1.4.1:1030
CCTV-2,http://61.163.149.148:8888/rtp/225.1.4.2:1031
CCTV-4,http://61.163.149.148:8888/rtp/225.1.4.4:1033
CCTV-7,http://61.163.149.148:8888/rtp/225.1.4.7:1036
CCTV-9,http://61.163.149.148:8888/rtp/225.1.4.9:1038
CCTV-10,http://61.163.149.148:8888/rtp/225.1.4.10:1039
CCTV-11,http://61.163.149.148:8888/rtp/225.1.4.11:1040
CCTV-12,http://61.163.149.148:8888/rtp/225.1.4.12:1041
CCTV-13,http://61.163.149.148:8888/rtp/225.1.4.13:1042
CCTV-14,http://61.163.149.148:8888/rtp/225.1.4.14:1043
CCTV-15,http://61.163.149.148:8888/rtp/225.1.4.15:1044
CCTV-17,http://61.163.149.148:8888/rtp/225.1.4.227:2507
CCTV4欧洲,http://61.163.149.148:8888/rtp/225.1.5.31:1342
CCTV4美洲,http://61.163.149.148:8888/rtp/225.1.5.32:1343
CGTN英语,http://61.163.149.148:8888/rtp/225.1.5.34:1344
CGTN英文纪录,http://61.163.149.148:8888/rtp/225.1.5.35:1345
CGTN西班牙语,http://61.163.149.148:8888/rtp/225.1.5.36:1346
CGTN法语,http://61.163.149.148:8888/rtp/225.1.5.37:1347
CGTN阿拉伯语,http://61.163.149.148:8888/rtp/225.1.5.38:1348
CGTN俄语,http://61.163.149.148:8888/rtp/225.1.5.39:1349

卫视,#genre#
广西卫视,http://61.163.149.148:8888/rtp/225.1.4.31:1060
海南卫视,http://61.163.149.148:8888/rtp/225.1.4.25:1054
山西卫视,http://61.163.149.148:8888/rtp/225.1.4.38:1067
陕西卫视,http://61.163.149.148:8888/rtp/225.1.4.39:1068
甘肃卫视,http://61.163.149.148:8888/rtp/225.1.4.42:1071
宁夏卫视,http://61.163.149.148:8888/rtp/225.1.4.43:1072
青海卫视,http://61.163.149.148:8888/rtp/225.1.4.44:1073
内蒙古卫视,http://61.163.149.148:8888/rtp/225.1.4.45:1074
西藏卫视,http://61.163.149.148:8888/rtp/225.1.4.46:1075
新疆卫视,http://61.163.149.148:8888/rtp/225.1.4.47:1076
